date,stock_id,return,market_index,market_cap,book_to_market,risk_free_rate
2020-01-01,STOCK_001,0.0,1000.0,3323732287.900816,1.904756756893693,0.0001
2020-01-02,STOCK_001,0.003574774834645329,1005.7671415301123,3318292022.6274505,1.8942274982571512,0.0001
2020-01-03,STOCK_001,-0.007783667029755136,1005.1811383336905,3335642225.5249853,1.9123451395022455,0.0001
2020-01-06,STOCK_001,0.007597624248935928,1012.4957262644949,3301345509.895864,1.9186371014022945,0.0001
2020-01-07,STOCK_001,0.03671052831763568,1028.7263350513701,3359750075.4352093,1.8969626593280764,0.0001
2020-01-08,STOCK_001,-0.0043116955327282104,1027.1405186892207,3303155033.914477,1.904979329303005,0.0001
2020-01-09,STOCK_001,-0.000816746858455606,1025.557315550121,3297257577.875893,1.9202647762543996,0.0001
2020-01-10,STOCK_001,0.02007466681328823,1042.5734939601023,3322091067.79517,1.909804410035898,0.0001
2020-01-13,STOCK_001,0.017971970543824205,1051.408623824863,3261843239.981181,1.918409269434814,0.0001
2020-01-14,STOCK_001,-0.0005761416482064534,1047.313656543554,3287293409.2381,1.9129066690638834,0.0001
2020-01-15,STOCK_001,0.000977370094533017,1053.8338129002134,3337775263.188755,1.9253437789911685,0.0001
2020-01-16,STOCK_001,-0.01399573222337831,1049.7932276087138,3284978008.25549,1.8834620401925601,0.0001
2020-01-17,STOCK_001,-0.01020468662872315,1045.7438627788615,3334662164.013239,1.929549503413221,0.0001
2020-01-20,STOCK_001,0.0069731238261830095,1049.1107634742266,3369781511.309396,1.9143383068826825,0.0001
2020-01-21,STOCK_001,-0.04689983054570632,1029.877623102875,3312178333.359058,1.92005105150437,0.0001
2020-01-22,STOCK_001,-0.02366356519128238,1012.9369824273945,3296137752.98918,1.9168883880180887,0.0001
2020-01-23,STOCK_001,-0.007180973089242319,1008.0517136820773,3345367443.346415,1.922470988362478,0.0001
2020-01-24,STOCK_001,-0.014288922613964482,998.6482935877865,3420399114.984541,1.9160857643688283,0.0001
2020-01-27,STOCK_001,0.0017931166532893757,1002.5854378472646,3311601582.125387,1.912089080062781,0.0001
2020-01-28,STOCK_001,-0.011462825593843328,994.2837890442195,3269658207.430863,1.9056909967865894,0.0001
2020-01-29,STOCK_001,-0.03086455152988445,981.0369093210065,3314919512.97198,1.9073224538488172,0.0001
2020-01-30,STOCK_001,-0.004949495494364331,996.2002942325928,3333613850.3981752,1.9044699067428879,0.0001
2020-01-31,STOCK_001,-0.005587214214581825,994.7480702982245,3365856637.418537,1.9123355930329862,0.0001
2020-02-03,STOCK_001,0.008594790584318222,996.2156042675033,3328233088.341839,1.9091983927071656,0.0001
2020-02-04,STOCK_001,-0.04578500459220665,982.8190129983407,3333708241.6043515,1.920222928875336,0.0001
2020-02-05,STOCK_001,-0.024793958389495323,978.2549712886275,3299679854.406545,1.906040921729846,0.0001
2020-02-06,STOCK_001,-0.005473428551570671,980.1226810137773,3318433003.080244,1.8994648421173954,0.0001
2020-02-07,STOCK_001,-0.013628032464495869,969.6256300492604,3301273306.1948867,1.907780147228162,0.0001
2020-02-10,STOCK_001,-0.004530906265961578,974.0441948307665,3357647070.3354435,1.914844137421785,0.0001
2020-02-11,STOCK_001,-0.011390874677912582,968.9729438955694,3334986376.270588,1.9204696170190307,0.0001
2020-02-12,STOCK_001,0.0030750743676825707,966.9216887361546,3323970174.9271035,1.9160671084333274,0.0001
2020-02-13,STOCK_001,-0.01575454663521737,961.8771943509379,3325106873.4238043,1.9148709198490734,0.0001
2020-02-14,STOCK_001,0.037773858698856105,980.4633375391477,3309145283.0122976,1.8890144530065125,0.0001
2020-02-17,STOCK_001,0.007612206809928272,981.1153728690382,3324073114.30972,1.9259374585655011,0.0001
2020-02-18,STOCK_001,0.00309736323211231,971.5229006428311,3359372128.224728,1.9215644234461264,0.0001
2020-02-19,STOCK_001,-0.006214277382305822,980.2913311525004,3369687791.8261614,1.9131813276032512,0.0001
2020-02-20,STOCK_001,-0.022877711356310337,969.1077397498307,3335110390.980897,1.9064278307426552,0.0001
2020-02-21,STOCK_001,0.03146119403695778,971.9071392063413,3318022033.6688614,1.918221412485538,0.0001
2020-02-24,STOCK_001,-0.02108210680792684,953.6384910788252,3368614460.487837,1.9110002741459056,0.0001
2020-02-25,STOCK_001,-0.030467777184091088,941.7353084762537,3313557911.795803,1.9123386613143094,0.0001
2020-02-26,STOCK_001,0.021592489225789106,944.342608489917,3348554076.571664,1.8985279526599887,0.0001
2020-02-27,STOCK_001,-0.00528284579794642,952.0717371410637,3252113291.071184,1.9070695625341765,0.0001
2020-02-28,STOCK_001,0.01768570962460164,954.4649435024107,3287910719.724749,1.9074749452462099,0.0001
2020-03-02,STOCK_001,0.005652465672395679,954.1246931440542,3323623722.552536,1.90799980230857,0.0001
2020-03-03,STOCK_001,-0.02328216436442359,952.0150881869827,3376888654.9109178,1.9154578381283143,0.0001
2020-03-04,STOCK_001,-0.04025219176962967,938.7009478270718,3338544070.720321,1.9182829513264423,0.0001
2020-03-05,STOCK_001,0.014124263815374028,932.694724178254,3290636107.420358,1.9222692551414753,0.0001
2020-03-06,STOCK_001,-0.010107788452243194,929.1445264433352,3326020806.9043994,1.9187445262535396,0.0001
2020-03-09,STOCK_001,0.014433952528928408,939.7100353672188,3292865428.311507,1.897477087572099,0.0001
2020-03-10,STOCK_001,0.03074805114789794,943.6908189459444,3355766459.623761,1.9159327160922952,0.0001
2020-03-11,STOCK_001,-0.04406182896331603,927.8081235206128,3298517482.7545204,1.9040181834347976,0.0001
2020-03-12,STOCK_001,-0.0023464281874162884,931.5572474145023,3366003230.334398,1.9009608514339356,0.0001
2020-03-13,STOCK_001,-0.00612815255978894,928.7152313207067,3383219723.4044476,1.9037221766291492,0.0001
2020-03-16,STOCK_001,-0.0085020558539504,923.1715257847611,3349791801.0382113,1.9091914723615908,0.0001
2020-03-17,STOCK_001,0.013101168119278769,929.5568843339447,3348620004.421964,1.907130975668836,0.0001
2020-03-18,STOCK_001,-0.011379214909435519,939.8842568802231,3323124022.1823654,1.9127248687196277,0.0001
2020-03-19,STOCK_001,-0.011066939083247485,949.3891195127559,3295184416.564159,1.9194171296328928,0.0001
2020-03-20,STOCK_001,-0.028161486739063008,942.1811909538459,3311460121.034306,1.9101478166366341,0.0001
2020-03-23,STOCK_001,0.018685714802593706,940.0215950612372,3295445310.4392166,1.8878334292279098,0.0001
2020-03-24,STOCK_001,0.01371692699584306,943.8875601290206,3322184212.939681,1.935402240978706,0.0001
2020-03-25,STOCK_001,0.025745822916822283,953.8507192754765,3354658541.881709,1.9121494517891302,0.0001
2020-03-26,STOCK_001,-0.0038496345272026524,950.0431929366268,3319792220.115519,1.9125484245568394,0.0001
2020-03-27,STOCK_001,0.006040907363446154,949.0393870211058,3346753746.6118975,1.9010430729592214,0.0001
2020-03-30,STOCK_001,-0.026215407119893237,939.2990638750157,3365633326.402084,1.9191738518256483,0.0001
2020-03-31,STOCK_001,-0.022555805064562694,928.814545504115,3352447771.7093725,1.9165261726163467,0.0001
2020-04-01,STOCK_001,0.022302579299852122,937.1044551648927,3329195602.3163853,1.918767288939585,0.0001
2020-04-02,STOCK_001,0.03517044094037383,950.5635244594913,3348241439.368861,1.9089483933871956,0.0001
2020-04-03,STOCK_001,-0.018084407963439738,950.6394733293972,3309450073.825757,1.913307529232671,0.0001
2020-04-06,STOCK_001,0.03428578197328956,960.9399647632687,3380102449.9516444,1.9004856825916643,0.0001
2020-04-07,STOCK_001,0.019197411936909194,965.1838218267433,3279695449.0764227,1.913909001621105,0.0001
2020-04-08,STOCK_001,-0.004468675902030857,959.7293773813476,3330236472.359513,1.9139910486036422,0.0001
